Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","CERAMIC-10UF-10V-10%-X7R_0805_","C0805",41.148000,-84.964000,270.000000,top
"C2","CERAMIC-10UF-10V-10%-X7R_0805_","C0805",41.402000,-106.172000,270.000000,top
"D1","SMD-DIODE-SCHOTTKY-20V-1A_SOD-123_","SOD-123",20.574000,-83.312000,270.000000,top
"D2","SMD-DIODE-SCHOTTKY-20V-1A_SOD-123_","SOD-123",24.384000,-83.312000,270.000000,top
"D3","SMD-DIODE-SCHOTTKY-20V-1A_SOD-123_","SOD-123",27.940000,-83.312000,270.000000,top
"D4","SMD-DIODE-SCHOTTKY-20V-1A_SOD-123_","SOD-123",31.496000,-83.312000,270.000000,top
"D5","SMD-DIODE-SCHOTTKY-20V-1A_SOD-123_","SOD-123",62.230000,-83.312000,270.000000,top
"D6","SMD-DIODE-SCHOTTKY-20V-1A_SOD-123_","SOD-123",66.040000,-83.312000,270.000000,top
"D7","SMD-DIODE-SCHOTTKY-20V-1A_SOD-123_","SOD-123",69.850000,-83.312000,270.000000,top
"D8","SMD-DIODE-SCHOTTKY-20V-1A_SOD-123_","SOD-123",73.660000,-83.312000,270.000000,top
"LED1","SMD-LED-CLEAR-RED_0805_","LED-0805",20.574000,-99.060000,90.000000,top
"LED2","SMD-LED-CLEAR-RED_0805_","LED-0805",24.384000,-99.060000,90.000000,top
"LED3","SMD-LED-CLEAR-RED_0805_","LED-0805",27.940000,-99.060000,90.000000,top
"LED4","SMD-LED-CLEAR-RED_0805_","LED-0805",31.496000,-99.060000,90.000000,top
"LED5","SMD-LED-CLEAR-RED_0805_","LED-0805",62.230000,-99.060000,90.000000,top
"LED6","SMD-LED-CLEAR-RED_0805_","LED-0805",66.040000,-99.060000,90.000000,top
"LED7","SMD-LED-CLEAR-RED_0805_","LED-0805",69.850000,-99.060000,90.000000,top
"LED8","SMD-LED-CLEAR-RED_0805_","LED-0805",73.660000,-99.060000,90.000000,top
"Q1","SMD-MOSFET-N-CH-20V-2.1A-CJ2302_SOT-23_","SOT-23",20.574000,-89.916000,0.000000,top
"Q2","SMD-MOSFET-N-CH-20V-2.1A-CJ2302_SOT-23_","SOT-23",24.384000,-89.916000,0.000000,top
"Q3","SMD-MOSFET-N-CH-20V-2.1A-CJ2302_SOT-23_","SOT-23",27.940000,-89.916000,0.000000,top
"Q4","SMD-MOSFET-N-CH-20V-2.1A-CJ2302_SOT-23_","SOT-23",31.496000,-89.916000,0.000000,top
"Q5","SMD-MOSFET-N-CH-20V-2.1A-CJ2302_SOT-23_","SOT-23",62.230000,-89.916000,0.000000,top
"Q6","SMD-MOSFET-N-CH-20V-2.1A-CJ2302_SOT-23_","SOT-23",66.040000,-89.916000,0.000000,top
"Q7","SMD-MOSFET-N-CH-20V-2.1A-CJ2302_SOT-23_","SOT-23",69.850000,-89.916000,0.000000,top
"Q8","SMD-MOSFET-N-CH-20V-2.1A-CJ2302_SOT-23_","SOT-23",73.660000,-89.916000,0.000000,top
"R1","SMD-RES-4.7K-5%-1_8W_0805_","R0805",20.574000,-103.124000,90.000000,top
"R2","SMD-RES-4.7K-5%-1_8W_0805_","R0805",24.384000,-103.124000,90.000000,top
"R3","SMD-RES-4.7K-5%-1_8W_0805_","R0805",27.940000,-103.124000,90.000000,top
"R4","SMD-RES-4.7K-5%-1_8W_0805_","R0805",31.496000,-103.124000,90.000000,top
"R5","SMD-RES-4.7K-5%-1_8W_0805_","R0805",62.230000,-103.124000,90.000000,top
"R6","SMD-RES-4.7K-5%-1_8W_0805_","R0805",66.040000,-103.124000,90.000000,top
"R7","SMD-RES-4.7K-5%-1_8W_0805_","R0805",69.850000,-103.124000,90.000000,top
"R8","SMD-RES-4.7K-5%-1_8W_0805_","R0805",73.660000,-103.124000,90.000000,top
"RLED1","SMD-RES-220R-5%-1_8W_0805_","R0805",20.574000,-94.996000,90.000000,top
"RLED2","SMD-RES-220R-5%-1_8W_0805_","R0805",24.384000,-94.996000,90.000000,top
"RLED3","SMD-RES-220R-5%-1_8W_0805_","R0805",27.940000,-94.996000,90.000000,top
"RLED4","SMD-RES-220R-5%-1_8W_0805_","R0805",31.496000,-94.996000,90.000000,top
"RLED5","SMD-RES-220R-5%-1_8W_0805_","R0805",62.230000,-94.996000,90.000000,top
"RLED6","SMD-RES-220R-5%-1_8W_0805_","R0805",66.040000,-94.996000,90.000000,top
"RLED7","SMD-RES-220R-5%-1_8W_0805_","R0805",69.850000,-94.996000,90.000000,top
"RLED8","SMD-RES-220R-5%-1_8W_0805_","R0805",73.660000,-94.996000,90.000000,top
